transaction_id,customer_id,date,product_type,price,is_renewal
TXN00001,CLI0001,2024-06-01,Basic,30,0
TXN00002,CLI0002,2023-12-20,Pro,50,0
TXN00003,CLI0002,2024-01-19,Pro,50,1
TXN00004,CLI0002,2024-02-18,Pro,50,1
TXN00005,CLI0002,2024-03-19,Pro,50,1
TXN00006,CLI0002,2024-04-18,Pro,50,1
TXN00007,CLI0002,2024-05-18,Pro,50,1
TXN00008,CLI0002,2024-06-17,Pro,50,1
TXN00009,CLI0002,2024-07-17,Pro,50,1
TXN00010,CLI0002,2024-08-16,Pro,50,1
TXN00011,CLI0002,2024-09-15,Pro,50,1
TXN00012,CLI0002,2024-10-15,Pro,50,1
TXN00013,CLI0002,2024-11-14,Pro,50,1
TXN00014,CLI0003,2024-08-21,Pro,50,0
TXN00015,CLI0003,2024-09-20,Pro,50,1
TXN00016,CLI0003,2024-10-20,Pro,50,1
TXN00017,CLI0003,2024-11-19,Pro,50,1
TXN00018,CLI0004,2024-03-07,Pro,50,0
TXN00019,CLI0004,2024-04-06,Pro,50,1
TXN00020,CLI0004,2024-05-06,Pro,50,1
TXN00021,CLI0004,2024-06-05,Pro,50,1
TXN00022,CLI0004,2024-07-05,Pro,50,1
TXN00023,CLI0004,2024-08-04,Pro,50,1
TXN00024,CLI0004,2024-09-03,Pro,50,1
TXN00025,CLI0004,2024-10-03,Pro,50,1
TXN00026,CLI0004,2024-11-02,Pro,50,1
TXN00027,CLI0005,2023-09-07,Pro,50,0
TXN00028,CLI0005,2023-10-07,Pro,50,1
TXN00029,CLI0005,2023-11-06,Pro,50,1
TXN00030,CLI0006,2024-07-20,Basic,30,0
TXN00031,CLI0007,2024-03-29,Pro,50,0
TXN00032,CLI0007,2024-04-28,Pro,50,1
TXN00033,CLI0007,2024-05-28,Pro,50,1
TXN00034,CLI0008,2023-06-02,Basic,30,0
TXN00035,CLI0009,2023-01-10,Pro,50,0
TXN00036,CLI0009,2023-02-09,Pro,50,1
TXN00037,CLI0009,2023-03-11,Pro,50,1
TXN00038,CLI0009,2023-04-10,Pro,50,1
TXN00039,CLI0009,2023-05-10,Pro,50,1
TXN00040,CLI0009,2023-06-09,Pro,50,1
TXN00041,CLI0009,2023-07-09,Pro,50,1
TXN00042,CLI0009,2023-08-08,Pro,50,1
TXN00043,CLI0009,2023-09-07,Pro,50,1
TXN00044,CLI0009,2023-10-07,Pro,50,1
TXN00045,CLI0009,2023-11-06,Pro,50,1
TXN00046,CLI0009,2023-12-06,Pro,50,1
TXN00047,CLI0009,2024-01-05,Pro,50,1
TXN00048,CLI0009,2024-02-04,Pro,50,1
TXN00049,CLI0009,2024-03-05,Pro,50,1
TXN00050,CLI0009,2024-04-04,Pro,50,1
TXN00051,CLI0009,2024-05-04,Pro,50,1
TXN00052,CLI0009,2024-06-03,Pro,50,1
TXN00053,CLI0009,2024-07-03,Pro,50,1
TXN00054,CLI0009,2024-08-02,Pro,50,1
TXN00055,CLI0009,2024-09-01,Pro,50,1
TXN00056,CLI0009,2024-10-01,Pro,50,1
TXN00057,CLI0009,2024-10-31,Pro,50,1
TXN00058,CLI0009,2024-11-30,Pro,50,1
TXN00059,CLI0010,2024-07-23,Basic,30,0
TXN00060,CLI0011,2023-08-14,Pro,50,0
TXN00061,CLI0012,2023-08-24,Basic,30,0
TXN00062,CLI0013,2024-04-25,Pro,50,0
TXN00063,CLI0013,2024-05-25,Pro,50,1
TXN00064,CLI0013,2024-06-24,Pro,50,1
TXN00065,CLI0013,2024-07-24,Pro,50,1
TXN00066,CLI0013,2024-08-23,Pro,50,1
TXN00067,CLI0013,2024-09-22,Pro,50,1
TXN00068,CLI0013,2024-10-22,Pro,50,1
TXN00069,CLI0013,2024-11-21,Pro,50,1
TXN00070,CLI0014,2023-09-04,Pro,50,0
TXN00071,CLI0014,2023-10-04,Pro,50,1
TXN00072,CLI0014,2023-11-03,Pro,50,1
TXN00073,CLI0014,2023-12-03,Pro,50,1
TXN00074,CLI0014,2024-01-02,Pro,50,1
TXN00075,CLI0014,2024-02-01,Pro,50,1
TXN00076,CLI0014,2024-03-02,Pro,50,1
TXN00077,CLI0014,2024-04-01,Pro,50,1
TXN00078,CLI0014,2024-05-01,Pro,50,1
TXN00079,CLI0014,2024-05-31,Pro,50,1
TXN00080,CLI0014,2024-06-30,Pro,50,1
TXN00081,CLI0014,2024-07-30,Pro,50,1
TXN00082,CLI0014,2024-08-29,Pro,50,1
TXN00083,CLI0014,2024-09-28,Pro,50,1
TXN00084,CLI0014,2024-10-28,Pro,50,1
TXN00085,CLI0014,2024-11-27,Pro,50,1
TXN00086,CLI0015,2024-07-21,Pro,50,0
TXN00087,CLI0015,2024-08-20,Pro,50,1
TXN00088,CLI0015,2024-09-19,Pro,50,1
TXN00089,CLI0015,2024-10-19,Pro,50,1
TXN00090,CLI0015,2024-11-18,Pro,50,1
TXN00091,CLI0016,2023-01-30,Basic,30,0
TXN00092,CLI0017,2023-09-05,Pro,50,0
TXN00093,CLI0017,2023-10-05,Pro,50,1
TXN00094,CLI0017,2023-11-04,Pro,50,1
TXN00095,CLI0017,2023-12-04,Pro,50,1
TXN00096,CLI0017,2024-01-03,Pro,50,1
TXN00097,CLI0017,2024-02-02,Pro,50,1
TXN00098,CLI0017,2024-03-03,Pro,50,1
TXN00099,CLI0017,2024-04-02,Pro,50,1
TXN00100,CLI0017,2024-05-02,Pro,50,1
TXN00101,CLI0017,2024-06-01,Pro,50,1
TXN00102,CLI0017,2024-07-01,Pro,50,1
TXN00103,CLI0017,2024-07-31,Pro,50,1
TXN00104,CLI0017,2024-08-30,Pro,50,1
TXN00105,CLI0017,2024-09-29,Pro,50,1
TXN00106,CLI0017,2024-10-29,Pro,50,1
TXN00107,CLI0017,2024-11-28,Pro,50,1
TXN00108,CLI0018,2024-05-05,Basic,30,0
TXN00109,CLI0019,2024-05-02,Pro,50,0
TXN00110,CLI0019,2024-06-01,Pro,50,1
TXN00111,CLI0019,2024-07-01,Pro,50,1
TXN00112,CLI0019,2024-07-31,Pro,50,1
TXN00113,CLI0019,2024-08-30,Pro,50,1
TXN00114,CLI0019,2024-09-29,Pro,50,1
TXN00115,CLI0019,2024-10-29,Pro,50,1
TXN00116,CLI0019,2024-11-28,Pro,50,1
TXN00117,CLI0020,2024-03-01,Basic,30,0
TXN00118,CLI0021,2023-02-27,Basic,30,0
TXN00119,CLI0022,2024-03-02,Pro,50,0
TXN00120,CLI0022,2024-04-01,Pro,50,1
TXN00121,CLI0022,2024-05-01,Pro,50,1
TXN00122,CLI0022,2024-05-31,Pro,50,1
TXN00123,CLI0022,2024-06-30,Pro,50,1
